raw_file_id,survey_id,raw_source,archive_path,inner_name,file_size,platform,ingested_at
raw_0068,survey_601164609f05,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_про__WcJKowZyTakRasE2FoY9m8_2026-6-4.xlsx,Опрос_про__WcJKowZyTakRasE2FoY9m8_2026-6-4.xlsx,288679,XLSX,2026-06-04T02:24:21
raw_0069,survey_5fb8b30e786e,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_не_к_GhTMGvMb3z2XP7isUPbot2_2026-6-4.xlsx,Опрос_не_к_GhTMGvMb3z2XP7isUPbot2_2026-6-4.xlsx,146280,XLSX,2026-06-04T02:24:21
raw_0070,survey_307f49ac1f65,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Продвинуты_DUAH8hoo936Fncy4XMs7mk_2026-6-4.xlsx,Продвинуты_DUAH8hoo936Fncy4XMs7mk_2026-6-4.xlsx,109293,XLSX,2026-06-04T02:24:21
raw_0071,survey_46fa5143e469,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Охана_НКЛ_D3cRDN3HwAHx8Gv2HvhVJS_2026-6-4.xlsx,Охана_НКЛ_D3cRDN3HwAHx8Gv2HvhVJS_2026-6-4.xlsx,219919,XLSX,2026-06-04T02:24:21
raw_0072,survey_4f9ab6dc0b1a,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_клие_9rjuLbRvMeKod2GTCN4mQp_2026-6-4.xlsx,Опрос_клие_9rjuLbRvMeKod2GTCN4mQp_2026-6-4.xlsx,90967,XLSX,2026-06-04T02:24:21
raw_0073,survey_4e66d996c59d,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_Лайф_D5qHjrMkppg4TUUBpJ4E8t_2026-6-4.xlsx,Опрос_Лайф_D5qHjrMkppg4TUUBpJ4E8t_2026-6-4.xlsx,154497,XLSX,2026-06-04T02:24:21
raw_0074,survey_521753d868fd,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,ДЗОРТ_WEeKu5t9mFqEk8Vpq5vbRz_2026-6-4.xlsx,ДЗОРТ_WEeKu5t9mFqEk8Vpq5vbRz_2026-6-4.xlsx,48127,XLSX,2026-06-04T02:24:21
raw_0075,survey_7e010903b205,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Восточка.__DTfKvM8GXSCPdf3xhMhqis_2026-6-4.xlsx,Восточка.__DTfKvM8GXSCPdf3xhMhqis_2026-6-4.xlsx,127783,XLSX,2026-06-04T02:24:21
raw_0076,survey_68840b6668bb,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,БК._Анкета_4WbEKH65Qzgwtu151AGFEr_2026-6-4.xlsx,БК._Анкета_4WbEKH65Qzgwtu151AGFEr_2026-6-4.xlsx,61762,XLSX,2026-06-04T02:24:21
raw_0077,survey_906c5f52b6c1,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,БК._Анкета_9qvwnKohnc7AMD59uSSzdD_2026-6-4.xlsx,БК._Анкета_9qvwnKohnc7AMD59uSSzdD_2026-6-4.xlsx,69872,XLSX,2026-06-04T02:24:21
raw_0078,survey_a3276b5db7f7,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,МРТЦ._Анке_EBnohQhjxKNiEmM8aoSUv2_2026-6-4.xlsx,МРТЦ._Анке_EBnohQhjxKNiEmM8aoSUv2_2026-6-4.xlsx,210628,XLSX,2026-06-04T02:24:21
raw_0079,survey_e5dd2ce96ea5,/Users/iliabalahnin/Downloads/Опросы.zip,Опросы/anketolog-report-2132990-survey-1035748-dinastiya-s-neklientyi-L60lTZ.xlsx,Опросы/anketolog-report-2132990-survey-1035748-dinastiya-s-neklientyi-L60lTZ.xlsx,119403,XLSX,2026-06-04T02:24:22
